Policy Area,Dataset,Variable,Year,Amount,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Employment & Income,Income,Median Household Income,2015,"47,361","Census Tract 2943.02, Los Angeles County, California",294302,Wilmington,1400000US06037294302,"(33.7848645, -118.2793115)",Median_Household_Income_2015_1400000US06037294302,01/01/2015
Employment & Income,Income,Median Household Income,2014,"31,128","Census Tract 1914.10, Los Angeles County, California",191410,East Hollywood,1400000US06037191410,"(34.0887575, -118.288114)",Median_Household_Income_2014_1400000US06037191410,01/01/2014
Employment & Income,Income,Median Household Income,2015,"72,927","Census Tract 5510, Los Angeles County, California",551000,Downey,1400000US06037551000,"(33.93758, -118.112064)",Median_Household_Income_2015_1400000US06037551000,01/01/2015
Employment & Income,Income,Median Household Income,2011,"71,833","Census Tract 5004.04, Los Angeles County, California",500404,Pico Rivera,1400000US06037500404,"(34.014082, -118.074022)",Median_Household_Income_2011_1400000US06037500404,01/01/2011
Employment & Income,Income,Median Household Income,2015,"60,470","Census Tract 2766.04, Los Angeles County, California",276604,Westchester,1400000US06037276604,"(33.9567545, -118.4244035)",Median_Household_Income_2015_1400000US06037276604,01/01/2015
Employment & Income,Income,Median Household Income,2013,"55,982","Census Tract 4029.04, Los Angeles County, California",402904,Pomona,1400000US06037402904,"(34.0261665, -117.7384515)",Median_Household_Income_2013_1400000US06037402904,01/01/2013
Employment & Income,Income,Median Household Income,2010,"34,531","Census Tract 5334.02, Los Angeles County, California",533402,Maywood,1400000US06037533402,"(33.989879, -118.195177)",Median_Household_Income_2010_1400000US06037533402,01/01/2010
Employment & Income,Income,Median Household Income,2014,"61,893","Census Tract 1312, Los Angeles County, California",131200,Lake Balboa,1400000US06037131200,"(34.2147545, -118.514238)",Median_Household_Income_2014_1400000US06037131200,01/01/2014
Employment & Income,Income,Median Household Income,2015,"35,127","Census Tract 1242.04, Los Angeles County, California",124204,North Hollywood,1400000US06037124204,"(34.1739735, -118.3746565)",Median_Household_Income_2015_1400000US06037124204,01/01/2015
Employment & Income,Income,Median Household Income,2014,"44,436","Census Tract 1064.05, Los Angeles County, California",106405,Sylmar,1400000US06037106405,"(34.3146865, -118.448309)",Median_Household_Income_2014_1400000US06037106405,01/01/2014
Employment & Income,Income,Median Household Income,2013,"61,382","Census Tract 2079, Los Angeles County, California",207900,Downtown,1400000US06037207900,"(34.0403745, -118.260362)",Median_Household_Income_2013_1400000US06037207900,01/01/2013
Employment & Income,Income,Median Household Income,2014,"40,521","Census Tract 5332.01, Los Angeles County, California",533201,Huntington Park,1400000US06037533201,"(33.9819865, -118.208027)",Median_Household_Income_2014_1400000US06037533201,01/01/2014
Employment & Income,Income,Median Household Income,2015,"36,734","Census Tract 4326.01, Los Angeles County, California",432601,El Monte,1400000US06037432601,"(34.082497, -118.014655)",Median_Household_Income_2015_1400000US06037432601,01/01/2015
Employment & Income,Income,Median Household Income,2011,"78,015","Census Tract 1133.03, Los Angeles County, California",113303,Chatsworth,1400000US06037113303,"(34.2420235, -118.5801645)",Median_Household_Income_2011_1400000US06037113303,01/01/2011
Employment & Income,Income,Median Household Income,2014,"62,788","Census Tract 9010.08, Los Angeles County, California",901008,Lancaster,1400000US06037901008,"(34.6966705, -118.174692)",Median_Household_Income_2014_1400000US06037901008,01/01/2014
Employment & Income,Income,Median Household Income,2011,"53,811","Census Tract 3107.03, Los Angeles County, California",310703,Burbank,1400000US06037310703,"(34.1760485, -118.2997335)",Median_Household_Income_2011_1400000US06037310703,01/01/2011
Employment & Income,Income,Median Household Income,2015,"52,500","Census Tract 4827.02, Los Angeles County, California",482702,Monterey Park,1400000US06037482702,"(34.042508, -118.1351495)",Median_Household_Income_2015_1400000US06037482702,01/01/2015
Employment & Income,Income,Median Household Income,2015,"63,924","Census Tract 4828, Los Angeles County, California",482800,Monterey Park,1400000US06037482800,"(34.0362975, -118.1119885)",Median_Household_Income_2015_1400000US06037482800,01/01/2015
Employment & Income,Income,Median Household Income,2014,"107,614","Census Tract 6505.02, Los Angeles County, California",650502,Torrance,1400000US06037650502,"(33.8534285, -118.3701455)",Median_Household_Income_2014_1400000US06037650502,01/01/2014
Employment & Income,Income,Median Household Income,2012,"60,389","Census Tract 4049.02, Los Angeles County, California",404902,Baldwin Park,1400000US06037404902,"(34.0866635, -117.9791755)",Median_Household_Income_2012_1400000US06037404902,01/01/2012
Employment & Income,Income,Median Household Income,2011,"52,367","Census Tract 2674.03, Los Angeles County, California",267403,Sawtelle,1400000US06037267403,"(34.047607, -118.4565715)",Median_Household_Income_2011_1400000US06037267403,01/01/2011
Employment & Income,Income,Median Household Income,2014,"75,298","Census Tract 5510, Los Angeles County, California",551000,Downey,1400000US06037551000,"(33.93758, -118.112064)",Median_Household_Income_2014_1400000US06037551000,01/01/2014
Employment & Income,Income,Median Household Income,2011,"56,554","Census Tract 2913, Los Angeles County, California",291300,Gardena,1400000US06037291300,"(33.8659415, -118.295352)",Median_Household_Income_2011_1400000US06037291300,01/01/2011
Employment & Income,Income,Median Household Income,2014,"42,949","Census Tract 2944.21, Los Angeles County, California",294421,Harbor City,1400000US06037294421,"(33.7894135, -118.2958265)",Median_Household_Income_2014_1400000US06037294421,01/01/2014
Employment & Income,Income,Median Household Income,2014,"64,276","Census Tract 4631.01, Los Angeles County, California",463101,East Pasadena,1400000US06037463101,"(34.140347, -118.070446)",Median_Household_Income_2014_1400000US06037463101,01/01/2014
Employment & Income,Income,Median Household Income,2015,"62,813","Census Tract 6099, Los Angeles County, California",609900,San Pedro,1400000US06037609900,"(33.741006, -118.302932)",Median_Household_Income_2015_1400000US06037609900,01/01/2015
Employment & Income,Income,Median Household Income,2014,"65,659","Census Tract 2145.02, Los Angeles County, California",214502,Mid-Wilshire,1400000US06037214502,"(34.0677735, -118.35135)",Median_Household_Income_2014_1400000US06037214502,01/01/2014
Employment & Income,Income,Median Household Income,2013,"51,101","Census Tract 4027.03, Los Angeles County, California",402703,Pomona,1400000US06037402703,"(34.078636, -117.7238995)",Median_Household_Income_2013_1400000US06037402703,01/01/2013
Employment & Income,Income,Median Household Income,2010,"23,765","Census Tract 2122.03, Los Angeles County, California",212203,Koreatown,1400000US06037212203,"(34.0597625, -118.290359)",Median_Household_Income_2010_1400000US06037212203,01/01/2010
Employment & Income,Income,Median Household Income,2016,"122,644","Census Tract 3007.01, Los Angeles County, California",300701,Glendale,1400000US06037300701,"(34.202483, -118.2588315)",Median_Household_Income_2016_1400000US06037300701,01/01/2016
Employment & Income,Income,Median Household Income,2014,"241,528","Census Tract 2624, Los Angeles County, California",262400,Brentwood,1400000US06037262400,"(34.0876735, -118.5072195)",Median_Household_Income_2014_1400000US06037262400,01/01/2014
Employment & Income,Income,Median Household Income,2015,"46,710","Census Tract 1832.20, Los Angeles County, California",183220,Highland Park,1400000US06037183220,"(34.119149, -118.1900895)",Median_Household_Income_2015_1400000US06037183220,01/01/2015
Employment & Income,Income,Median Household Income,2011,"65,417","Census Tract 4056, Los Angeles County, California",405600,West Covina,1400000US06037405600,"(34.080479, -117.9164905)",Median_Household_Income_2011_1400000US06037405600,01/01/2011
Employment & Income,Income,Median Household Income,2010,"71,574","Census Tract 4310.02, Los Angeles County, California",431002,Monrovia,1400000US06037431002,"(34.1455095, -117.983079)",Median_Household_Income_2010_1400000US06037431002,01/01/2010
Employment & Income,Income,Median Household Income,2016,"104,583","Census Tract 1344.21, Los Angeles County, California",134421,West Hills,1400000US06037134421,"(34.2027805, -118.6477985)",Median_Household_Income_2016_1400000US06037134421,01/01/2016
Employment & Income,Income,Median Household Income,2012,"33,818","Census Tract 4324.02, Los Angeles County, California",432402,El Monte,1400000US06037432402,"(34.0855885, -118.027564)",Median_Household_Income_2012_1400000US06037432402,01/01/2012
Employment & Income,Income,Median Household Income,2014,"63,382","Census Tract 4081.41, Los Angeles County, California",408141,South San Jose Hills,1400000US06037408141,"(34.0082915, -117.8946755)",Median_Household_Income_2014_1400000US06037408141,01/01/2014
Employment & Income,Income,Median Household Income,2012,"44,629","Census Tract 1061.14, Los Angeles County, California",106114,Sylmar,1400000US06037106114,"(34.302675, -118.426951)",Median_Household_Income_2012_1400000US06037106114,01/01/2012
Employment & Income,Income,Median Household Income,2012,"75,110","Census Tract 4314, Los Angeles County, California",431400,Mayflower Village,1400000US06037431400,"(34.111617, -118.0087095)",Median_Household_Income_2012_1400000US06037431400,01/01/2012
Employment & Income,Income,Median Household Income,2012,"102,159","Census Tract 9108.13, Los Angeles County, California",910813,Agua Dulce,1400000US06037910813,"(34.5149, -118.3077005)",Median_Household_Income_2012_1400000US06037910813,01/01/2012
Employment & Income,Income,Median Household Income,2016,"155,559","Census Tract 2623.02, Los Angeles County, California",262302,Brentwood,1400000US06037262302,"(34.0753195, -118.477468)",Median_Household_Income_2016_1400000US06037262302,01/01/2016
Employment & Income,Income,Median Household Income,2011,"52,672","Census Tract 5533, Los Angeles County, California",553300,Bellflower,1400000US06037553300,"(33.9034715, -118.1384935)",Median_Household_Income_2011_1400000US06037553300,01/01/2011
Employment & Income,Income,Median Household Income,2013,"66,657","Census Tract 3017.01, Los Angeles County, California",301701,Glendale,1400000US06037301701,"(34.1593295, -118.273437)",Median_Household_Income_2013_1400000US06037301701,01/01/2013
Employment & Income,Income,Median Household Income,2016,"45,995","Census Tract 2128, Los Angeles County, California",212800,Mid-Wilshire,1400000US06037212800,"(34.0523625, -118.330411)",Median_Household_Income_2016_1400000US06037212800,01/01/2016
Employment & Income,Income,Median Household Income,2010,"52,227","Census Tract 1413.03, Los Angeles County, California",141303,Sherman Oaks,1400000US06037141303,"(34.1550215, -118.4552015)",Median_Household_Income_2010_1400000US06037141303,01/01/2010
Employment & Income,Income,Median Household Income,2014,"24,712","Census Tract 6002.01, Los Angeles County, California",600201,Westmont,1400000US06037600201,"(33.948816, -118.2970355)",Median_Household_Income_2014_1400000US06037600201,01/01/2014
Employment & Income,Income,Median Household Income,2016,"19,926","Census Tract 5758.03, Los Angeles County, California",575803,Long Beach,1400000US06037575803,"(33.778964, -118.1937175)",Median_Household_Income_2016_1400000US06037575803,01/01/2016
Employment & Income,Income,Median Household Income,2014,"34,081","Census Tract 5752.01, Los Angeles County, California",575201,Long Beach,1400000US06037575201,"(33.786226, -118.1763345)",Median_Household_Income_2014_1400000US06037575201,01/01/2014
Employment & Income,Income,Median Household Income,2010,"68,854","Census Tract 5723.02, Los Angeles County, California",572302,Long Beach,1400000US06037572302,"(33.81528, -118.2103735)",Median_Household_Income_2010_1400000US06037572302,01/01/2010
Employment & Income,Income,Median Household Income,2012,"37,391","Census Tract 4816.06, Los Angeles County, California",481606,Alhambra,1400000US06037481606,"(34.0766865, -118.1256875)",Median_Household_Income_2012_1400000US06037481606,01/01/2012
Employment & Income,Income,Median Household Income,2012,"59,028","Census Tract 4331.01, Los Angeles County, California",433101,El Monte,1400000US06037433101,"(34.0677255, -118.0599025)",Median_Household_Income_2012_1400000US06037433101,01/01/2012
Employment & Income,Income,Median Household Income,2016,"77,125","Census Tract 1286.02, Los Angeles County, California",128602,Sherman Oaks,1400000US06037128602,"(34.1712145, -118.4356065)",Median_Household_Income_2016_1400000US06037128602,01/01/2016
